"","year","month","site1","site2","site3"
"1",1978,10,333.82,332.41,332.387
"2",1978,11,336.53,333.76,338.787
"3",1978,12,338.27,334.83,339.423
"4",1979,1,340.02,336.21,340.2
"5",1979,2,340.82,336.65,341.236
"6",1979,3,341.7,338.13,342.493
"7",1979,4,342.89,338.94,342.348
"8",1979,5,342.59,339,342.844
"9",1979,6,338.71,339.2,341.958
"10",1979,7,332.48,337.6,333.022
"11",1979,8,327.94,335.56,327.813
"12",1979,9,331.14,333.93,330.205
"13",1979,10,336.76,334.12,333.418
"14",1979,11,339.03,335.26,338.006
"15",1979,12,339.76,336.78,341.357
"16",1980,1,341.01,337.8,341.84
"17",1980,2,342.74,338.28,342.43
"18",1980,3,343.85,340.04,343.39
"19",1980,4,344.42,340.86,343.33
"20",1980,5,344.76,341.47,343.31
"21",1980,6,341.9,341.26,342.76
"22",1980,7,334.56,339.34,337.2
"23",1980,8,330.58,337.45,332.08
"24",1980,9,332.55,336.1,331.43
"25",1980,10,337.27,336.05,337.1
"26",1980,11,340.71,337.21,340.53
"27",1980,12,342.3,338.29,343.57
"28",1981,1,344.01,339.36,344.32
"29",1981,2,345.02,340.51,345.75
"30",1981,3,345.72,341.57,344.73
"31",1981,4,346.42,342.56,345.87
"32",1981,5,345.48,343.01,346.91
"33",1981,6,342.24,342.49,344.53
"34",1981,7,335.89,340.68,336.81
"35",1981,8,331.1,338.49,332.11
"36",1981,9,334.14,336.92,334.02
"37",1981,10,340.03,337.12,339.39
"38",1981,11,342.6,338.59,342.77
"39",1981,12,344.07,339.9,345.07
"40",1982,1,345.62,340.92,345.85
"41",1982,2,346.44,341.69,348.14
"42",1982,3,347.34,342.85,348.4
"43",1982,4,348.08,343.92,348.28
"44",1982,5,347.29,344.67,348.18
"45",1982,6,343.17,343.78,345.93
"46",1982,7,335.64,342.23,339.49
"47",1982,8,330.74,340.11,332.69
"48",1982,9,332.91,338.32,333.04
"49",1982,10,338.76,338.39,338.12
"50",1982,11,342.3,339.48,342.16
"51",1982,12,345.16,340.88,344.55
"52",1983,1,346.77,341.64,347.33
"53",1983,2,346.48,342.87,346.85
"54",1983,3,346.51,343.59,348.25
"55",1983,4,347.4,345.25,348.29
"56",1983,5,347.33,345.96,348.47
"57",1983,6,344.23,345.52,347.1
"58",1983,7,337.18,344.15,340.73
"59",1983,8,333.19,342.25,333.64
"60",1983,9,337.82,340.17,335.14
"61",1983,10,343.51,340.3,340.41
"62",1983,11,345.95,341.53,346.68
"63",1983,12,346.32,343.07,346.97
"64",1984,1,347.73,344.05,350.66
"65",1984,2,349.48,344.77,351.11
"66",1984,3,349.22,345.46,350.21
"67",1984,4,349.53,346.35,349.98
"68",1984,5,349.53,347.55,350.88
"69",1984,6,344.91,346.98,348.48
"70",1984,7,339.63,345.55,341.9
"71",1984,8,337.79,343.2,335.87
"72",1984,9,339.85,341.35,338.45
"73",1984,10,344.34,341.68,342.14
"74",1984,11,347.78,343.06,345.11
"75",1984,12,348.95,344.54,348.72
"76",1985,1,349.02,345.25,349.93
"77",1985,2,350.04,346.06,349.59
"78",1985,3,351.65,347.66,350.66
"79",1985,4,352.46,348.2,351.68
"80",1985,5,352.16,348.92,352.64
"81",1985,6,349.57,348.4,350.14
"82",1985,7,343.86,346.66,343.88
"83",1985,8,337.9,344.85,338
"84",1985,9,338.67,343.2,337.59
"85",1985,10,344.7,343.08,343.09
"86",1985,11,347.78,344.4,347.18
"87",1985,12,349.09,345.82,349.23
"88",1986,1,351.42,346.54,350.19
"89",1986,2,352.18,347.13,351.74
"90",1986,3,352.3,348.05,353.68
"91",1986,4,353.23,349.77,353.14
"92",1986,5,353.35,350.53,353.48
"93",1986,6,350.95,349.9,351.77
"94",1986,7,343.68,348.11,344.67
"95",1986,8,338.42,346.09,339.37
"96",1986,9,341.09,345.01,341.66
"97",1986,10,346.14,344.47,344.53
"98",1986,11,349.18,345.86,348.74
"99",1986,12,351.47,347.15,351
